Gıda,Kod,Gruplar,Grup Linkleri,Gıda Linki
Acur,08.01.0001,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-acur-204
Afyon pastırması,12.02.0073,"Et ve et ürünleri, Geleneksel gıdalar","https://turkomp.tarimorman.gov.tr/?type=foods&group=3, https://turkomp.tarimorman.gov.tr/?type=foods&group=13",https://turkomp.tarimorman.gov.tr/food-afyon-pastirmasi-518
Ahududu,09.01.0001,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-ahududu-381
"Ahududu, dondurulmuş",09.02.0001,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-ahududu-dondurulmus-383
Ak sirken,08.01.0096,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-ak-sirken-723
"Alabalık, Gökkuşağı, yetiştirme",04.01.0001,Balık ve su ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=4,https://turkomp.tarimorman.gov.tr/food-alabalik-gokkusagi-yetistirme-513
Alagömeç,08.01.0081,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-alagomec-708
Ananas,09.01.0002,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-ananas-403
"Antep baklavası, fıstıklı",12.02.0117,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-antep-baklavasi-fistikli-586
"Antep fıstığı, iç, kavlatılmamış, taze",09.01.0059,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-antep-fistigi-ic-kavlatilmamis-taze-405
"Antep fıstığı, iç, kavrulmuş",09.02.0058,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-antep-fistigi-ic-kavrulmus-688
"Armut, kışlık, Deveci çeşidi",09.01.0004,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-armut-kislik-deveci-cesidi-357
"Armut, yazlık, Santa Maria çeşidi",09.01.0003,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-armut-yazlik-santa-maria-cesidi-358
